mrt_station_name,mrt_line_name
BAYSHORE MRT STATION,Thomson-East Coast Line
BRIGHT HILL MRT STATION,Thomson-East Coast Line
CANBERRA MRT STATION,Thomson-East Coast Line
CHANGI AIRPORT MRT STATION,Thomson-East Coast Line
GARDENS BY THE BAY MRT STATION,Thomson-East Coast Line
GREAT WORLD MRT STATION,Thomson-East Coast Line
HAVELOCK MRT STATION,Thomson-East Coast Line
KATONG PARK MRT STATION,Thomson-East Coast Line
LENTOR MRT STATION,Thomson-East Coast Line
MARINA SOUTH MRT STATION,Thomson-East Coast Line
MARINE PARADE MRT STATION,Thomson-East Coast Line
MARINE TERRACE MRT STATION,Thomson-East Coast Line
MAXWELL MRT STATION,Thomson-East Coast Line
MAYFLOWER MRT STATION,Thomson-East Coast Line
NAPIER MRT STATION,Thomson-East Coast Line
ORCHARD BOULEVARD MRT STATION,Thomson-East Coast Line
SHENTON WAY MRT STATION,Thomson-East Coast Line
SIGLAP MRT STATION,Thomson-East Coast Line
SPRINGLEAF MRT STATION,Thomson-East Coast Line
TANJONG KATONG MRT STATION,Thomson-East Coast Line
TANJONG RHU MRT STATION,Thomson-East Coast Line
UPPER THOMSON MRT STATION,Thomson-East Coast Line
WOODLANDS NORTH MRT STATION,Thomson-East Coast Line
WOODLANDS SOUTH MRT STATION,Thomson-East Coast Line
